simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 29; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 29; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 30; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 30; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 31; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 31; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 32; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 32; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 33; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 33; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 34; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 34; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 35; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 35; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 36; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 36; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 37; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 37; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 38; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 38; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 39; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 39; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 40; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 40; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 41; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 41; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 42; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 42; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 43; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 43; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 44; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 44; food_remaining: 21
