cycle: 105; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 106; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 107; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 108; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 109; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 110; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 111; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 112; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 113; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 114; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 115; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 116; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 117; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 118; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 119; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 120; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 121; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 122; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 123; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 124; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 125; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 126; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 127; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 128; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 129; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 130; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 131; no_of_treeA: 5726; no_of_treeB: 4344
cycle: 132; no_of_treeA: 5727; no_of_treeB: 4345
cycle: 133; no_of_treeA: 5728; no_of_treeB: 4347
cycle: 134; no_of_treeA: 5729; no_of_treeB: 4347
cycle: 135; no_of_treeA: 5729; no_of_treeB: 4349
cycle: 136; no_of_treeA: 5731; no_of_treeB: 4349
cycle: 137; no_of_treeA: 5731; no_of_treeB: 4349
cycle: 138; no_of_treeA: 5732; no_of_treeB: 4351
cycle: 139; no_of_treeA: 5732; no_of_treeB: 4352
cycle: 140; no_of_treeA: 5733; no_of_treeB: 4353
cycle: 141; no_of_treeA: 5733; no_of_treeB: 4353
cycle: 142; no_of_treeA: 5735; no_of_treeB: 4354
cycle: 143; no_of_treeA: 5737; no_of_treeB: 4355
cycle: 144; no_of_treeA: 5739; no_of_treeB: 4358
cycle: 145; no_of_treeA: 5744; no_of_treeB: 4358
cycle: 146; no_of_treeA: 5745; no_of_treeB: 4358
cycle: 147; no_of_treeA: 5746; no_of_treeB: 4358
cycle: 148; no_of_treeA: 5747; no_of_treeB: 4359
cycle: 149; no_of_treeA: 5750; no_of_treeB: 4362
cycle: 150; no_of_treeA: 5752; no_of_treeB: 4363
cycle: 151; no_of_treeA: 5753; no_of_treeB: 4365
cycle: 152; no_of_treeA: 5754; no_of_treeB: 4369
cycle: 153; no_of_treeA: 5758; no_of_treeB: 4372
cycle: 154; no_of_treeA: 5762; no_of_treeB: 4377
cycle: 155; no_of_treeA: 5766; no_of_treeB: 4380
cycle: 156; no_of_treeA: 5769; no_of_treeB: 4384
cycle: 157; no_of_treeA: 5773; no_of_treeB: 4388
cycle: 158; no_of_treeA: 5776; no_of_treeB: 4392
cycle: 159; no_of_treeA: 5779; no_of_treeB: 4398
cycle: 160; no_of_treeA: 5781; no_of_treeB: 4402
cycle: 161; no_of_treeA: 5785; no_of_treeB: 4407
cycle: 162; no_of_treeA: 5788; no_of_treeB: 4408
cycle: 163; no_of_treeA: 5793; no_of_treeB: 4412
cycle: 164; no_of_treeA: 5799; no_of_treeB: 4415
cycle: 165; no_of_treeA: 5802; no_of_treeB: 4416
cycle: 166; no_of_treeA: 5807; no_of_treeB: 4418
cycle: 167; no_of_treeA: 5809; no_of_treeB: 4422
cycle: 168; no_of_treeA: 5818; no_of_treeB: 4427
cycle: 169; no_of_treeA: 5821; no_of_treeB: 4431
cycle: 170; no_of_treeA: 5823; no_of_treeB: 4435
cycle: 171; no_of_treeA: 5827; no_of_treeB: 4439
cycle: 172; no_of_treeA: 5830; no_of_treeB: 4442
cycle: 173; no_of_treeA: 5831; no_of_treeB: 4443
cycle: 174; no_of_treeA: 5835; no_of_treeB: 4447
cycle: 175; no_of_treeA: 5838; no_of_treeB: 4450
cycle: 176; no_of_treeA: 5841; no_of_treeB: 4453
cycle: 177; no_of_treeA: 5845; no_of_treeB: 4454
cycle: 178; no_of_treeA: 5848; no_of_treeB: 4457
cycle: 179; no_of_treeA: 5851; no_of_treeB: 4459
cycle: 180; no_of_treeA: 5856; no_of_treeB: 4462
cycle: 181; no_of_treeA: 5857; no_of_treeB: 4464
cycle: 182; no_of_treeA: 5858; no_of_treeB: 4469
cycle: 183; no_of_treeA: 5860; no_of_treeB: 4471
cycle: 184; no_of_treeA: 5860; no_of_treeB: 4472
cycle: 185; no_of_treeA: 5863; no_of_treeB: 4476
cycle: 186; no_of_treeA: 5866; no_of_treeB: 4478
cycle: 187; no_of_treeA: 5867; no_of_treeB: 4479
cycle: 188; no_of_treeA: 5872; no_of_treeB: 4482
cycle: 189; no_of_treeA: 5873; no_of_treeB: 4483
cycle: 190; no_of_treeA: 5876; no_of_treeB: 4487
cycle: 191; no_of_treeA: 5879; no_of_treeB: 4488
cycle: 192; no_of_treeA: 5881; no_of_treeB: 4490
cycle: 193; no_of_treeA: 5881; no_of_treeB: 4492
cycle: 194; no_of_treeA: 5884; no_of_treeB: 4494
cycle: 195; no_of_treeA: 5886; no_of_treeB: 4496
cycle: 196; no_of_treeA: 5888; no_of_treeB: 4497
cycle: 197; no_of_treeA: 5890; no_of_treeB: 4497
cycle: 198; no_of_treeA: 5891; no_of_treeB: 4499
cycle: 199; no_of_treeA: 5893; no_of_treeB: 4502
cycle: 200; no_of_treeA: 5894; no_of_treeB: 4503
cycle: 201; no_of_treeA: 5895; no_of_treeB: 4503
cycle: 202; no_of_treeA: 5895; no_of_treeB: 4506
cycle: 203; no_of_treeA: 5896; no_of_treeB: 4506
cycle: 204; no_of_treeA: 5897; no_of_treeB: 4509
cycle: 205; no_of_treeA: 5898; no_of_treeB: 4510
cycle: 206; no_of_treeA: 5898; no_of_treeB: 4512
cycle: 207; no_of_treeA: 5900; no_of_treeB: 4512
cycle: 208; no_of_treeA: 5900; no_of_treeB: 4515
cycle: 209; no_of_treeA: 5901; no_of_treeB: 4515
cycle: 210; no_of_treeA: 5901; no_of_treeB: 4515
cycle: 211; no_of_treeA: 5901; no_of_treeB: 4515
cycle: 212; no_of_treeA: 5901; no_of_treeB: 4516
cycle: 213; no_of_treeA: 5901; no_of_treeB: 4516
cycle: 214; no_of_treeA: 5902; no_of_treeB: 4516
cycle: 215; no_of_treeA: 5902; no_of_treeB: 4516
cycle: 216; no_of_treeA: 5902; no_of_treeB: 4516
cycle: 217; no_of_treeA: 5902; no_of_treeB: 4516
cycle: 218; no_of_treeA: 5903; no_of_treeB: 4516
cycle: 219; no_of_treeA: 5903; no_of_treeB: 4516
cycle: 220; no_of_treeA: 5903; no_of_treeB: 4516
cycle: 221; no_of_treeA: 5904; no_of_treeB: 4516
cycle: 222; no_of_treeA: 5904; no_of_treeB: 4516
cycle: 223; no_of_treeA: 5904; no_of_treeB: 4516
cycle: 224; no_of_treeA: 5905; no_of_treeB: 4517
cycle: 225; no_of_treeA: 5905; no_of_treeB: 4520
cycle: 226; no_of_treeA: 5905; no_of_treeB: 4520
cycle: 227; no_of_treeA: 5906; no_of_treeB: 4520
cycle: 228; no_of_treeA: 5906; no_of_treeB: 4520
cycle: 229; no_of_treeA: 5907; no_of_treeB: 4520
cycle: 230; no_of_treeA: 5908; no_of_treeB: 4522
cycle: 231; no_of_treeA: 5909; no_of_treeB: 4522
cycle: 232; no_of_treeA: 5910; no_of_treeB: 4523
cycle: 233; no_of_treeA: 5911; no_of_treeB: 4524
cycle: 234; no_of_treeA: 5915; no_of_treeB: 4525
cycle: 235; no_of_treeA: 5916; no_of_treeB: 4525
cycle: 236; no_of_treeA: 5918; no_of_treeB: 4528
cycle: 237; no_of_treeA: 5919; no_of_treeB: 4530
cycle: 238; no_of_treeA: 5923; no_of_treeB: 4530
cycle: 239; no_of_treeA: 5923; no_of_treeB: 4531
cycle: 240; no_of_treeA: 5925; no_of_treeB: 4533
cycle: 241; no_of_treeA: 5926; no_of_treeB: 4535
cycle: 242; no_of_treeA: 5929; no_of_treeB: 4539
cycle: 243; no_of_treeA: 5930; no_of_treeB: 4540
cycle: 244; no_of_treeA: 5935; no_of_treeB: 4540
cycle: 245; no_of_treeA: 5939; no_of_treeB: 4542
cycle: 246; no_of_treeA: 5942; no_of_treeB: 4544
cycle: 247; no_of_treeA: 5945; no_of_treeB: 4546
cycle: 248; no_of_treeA: 5951; no_of_treeB: 4549
cycle: 249; no_of_treeA: 5956; no_of_treeB: 4553
cycle: 250; no_of_treeA: 5957; no_of_treeB: 4558
cycle: 251; no_of_treeA: 5958; no_of_treeB: 4560
cycle: 252; no_of_treeA: 5964; no_of_treeB: 4561
cycle: 253; no_of_treeA: 5965; no_of_treeB: 4566
cycle: 254; no_of_treeA: 5967; no_of_treeB: 4568
cycle: 255; no_of_treeA: 5969; no_of_treeB: 4571
